experiment_id,phase,name,model_architecture,input_modality,features_dim,train_samples,val_samples,test_samples,metric_primary_name,metric_primary_value,metric_secondary,seed,config_path,artifact_paths,status
EXP001,4,Baseline Random Forest,Random Forest (100 trees),10 Statistical Feats,10,3206,682,680,Test Accuracy,0.5853,Macro-F1: 0.5787,42,configs/exp001_rf.json,results/baseline/baseline_metrics.csv,VERIFIED_PASS
EXP002,4,Baseline SVM RBF,Support Vector Machine (RBF),10 Statistical Feats,10,3206,682,680,Test Accuracy,0.3397,Macro-F1: 0.2828,42,configs/exp002_svm.json,results/baseline/baseline_metrics.csv,VERIFIED_PASS
EXP003,5,Deep CNN ResNet-18,ResNet-18 + KV Filter,256x256 Residuals,256x256x1,3206,682,680,Test Accuracy,0.9735,Macro-F1: 0.9735,42,configs/exp003_resnet18.json,models/cnn/resnet18_best.pth;results/cnn/test_metrics.csv,VERIFIED_PASS
EXP004,6,Dual-Branch Hybrid CNN,Residual CNN + Dense Fusion,Residuals + 44 Handcrafted,256x256x1 + 44,3206,682,680,Test Accuracy,0.8235,Macro-F1: 0.8231,42,configs/exp004_hybrid.json,models/hybrid_cnn/scanner_hybrid.keras;results/hybrid_cnn/test_metrics.csv,VERIFIED_PASS
EXP005,7,Systematic Ablations,Ablation Matrix A-F,Branch Combinations,Varying,3206,682,680,Dual-Branch vs Subsets,0.8235,ExpA: 63.82%; ExpB: 75.74%; ExpC: 23.38%,42,configs/exp005_ablation.json,results/ablation/ablation_results.csv;doc/ablation_analysis.md,VERIFIED_PASS
EXP006,8,Robustness Evaluation,Hybrid CNN Stress Tests,7 Degradation Families,256x256x1 + 44,N/A,N/A,680,Max Contrast Invariance,0.8147,JPEG Q85: 70.15%; Clean: 82.35%,42,configs/exp006_robustness.json,results/robustness/robustness_matrix.csv;doc/robustness_analysis.md,VERIFIED_PASS
EXP007,9,Open-Set Scanner Rejection,Penultimate Latent Distance,256-dim Latent Space,256,3206,682,680,Open-Set AUROC,0.9857,AUPR: 88.29%; FPR@95%TPR: 3.06%,42,configs/exp007_openset.json,results/open_set/known_vs_unknown_metrics.csv;doc/open_set_analysis.md,VERIFIED_PASS
EXP008,10,Tampering & Localization,Spatial Variance Ratio,High-Pass Residual Grid,256x256,N/A,N/A,300,Inpainting Precision,0.5878,IoU: 24.36%; Clean FPR: 0.00%,42,configs/exp008_tampering.json,results/tampering/localization_metrics.csv;doc/tampering_analysis.md,VERIFIED_PASS
EXP009,11,Explainable AI (Grad-CAM),Grad-CAM on conv2d_2,Residual Feature Maps,128 filters,N/A,N/A,6,Macroscopic Edge Corr,0.0720,PRNU Noise Corr: 0.1019; Mean Conf: 78.55%,42,configs/exp009_gradcam.json,results/explainability/explainability_metrics.csv;doc/explainability_report.md,VERIFIED_PASS
